key-WORD,Note,EN,JP,BR,ES,CH,VN,BAH,THAI,HK,TW
EN,,English,,,,,,,,,
JP,,日本語,,,,,,,,,
CH,,中文(简体字),,,,,,,,,
TW,,中文(繁體字 台灣),,,,,,,,,
HK,,中文(繁體字 香港),,,,,,,,,
BR,,Portugues(Brasil),,,,,,,,,
ES,,Español,,,,,,,,,
VN,,Tiếng Việt,,,,,,,,,
THAI,,ไทย,,,,,,,,,
BAH,,Bahasa(Indonesia),,,,,,,,,
# Language selection,,,,,,,,,,,
sel_lang,,Select a Language,言語選択,Selecione um Idioma,Seleccione un idioma,语言,Hãy chọn ngôn ngữ,Pilih Bahasa,เลือกภาษา,語言選擇,選擇語言
lang,,Language,表示言語,Língua,Idioma,语言,Tiếng Việt,bahasa,ภาษา,語言,語言
# Controller selection,,,,,,,,,,,
ctrl_sel,,Controller Selection,コントローラ選択,,,,,,,,
ctrl_search,,Search in network,ネットワーク内検索,Busca em rede,Búsqueda en la red,在网络中查询,Tìm kiếm trong mạng,Cari di jaringan,ค้นหาในเครือข่าย,在網絡中搜索,搜尋控制器
# Login,,,,,,,,,,,
usrname,,User Name,ユーザ名,Nome do Usuário,Nombre de usuario,用户名,Tên đăng nhập,Nama Pengguna,ชื่อผู้ใช้,使用者名稱,用戶名稱
passwd,,Password,パスワード,Senha,Contraseña,密码,Mật khẩu,Kata Sandi,รหัส,密碼,密碼
login,,Login,ログイン,Conectar,Iniciar sesión,登录,Đăng nhập,Masuk,เข้าสู่ระบบ,登錄,登入
sel_ctrl,,Select a Controller,コントローラーを選択してください,Selecione o controlador,Seleccione controlador,选择控制器,Hãy chọn bộ điều khiển,Silakan pilih pengontrol,โปรดเลือกอุปกรณ์ควบคุม,請選擇控制器,請選擇控制器
connection_timeout,Reason of could not login,Could not connect to controller,コントローラに接続できません,Não foi possível conectar ao controlador,No se ha podido conectar con el controlador,无法连接到控制器,Không thể kết nối với bộ điều khiển,Tidak bisa terhubung ke pengontrol,ไม่สามารถเชื่อมต่อกับคอนโทรลเลอร์,無法連接到控制器,連接超時
not_target,Reason of could not login,Could not connect to controller,コントローラに接続できません,Não foi possível conectar ao controlador,No se ha podido conectar con el controlador,无法连接到控制器,Không thể kết nối với bộ điều khiển,Tidak bisa terhubung ke pengontrol,ไม่สามารถเชื่อมต่อกับคอนโทรลเลอร์,無法連接到控制器,無目的
