key-WORD,Note,EN
fallback_controller_name,Dashboard fallback when the controller has no name,Reiri Controller
version_prefix,Prefix placed before the version number,Ver.
keep_backup_running,Close confirmation dialog title,Keep Backup Running?
close_app_warning,Close confirmation dialog message,Closing this app will stop all background backup. It is recommended to keep the app running.
minimize_to_tray,Close confirmation dialog action,Minimize to Tray
close_anyway,Close confirmation dialog destructive action,Close Anyway
tray_warning_no_recent_backup,System tray warning appended after the tray app name,Warning: no recent backup
open_app,System tray menu action,Open app
exit,System tray menu action,Exit
light_mode,Sidebar theme action,Light Mode
dark_mode,Sidebar and Settings theme label,Dark Mode
loading,Terms and Conditions document loading state,Loading
load_error,Terms and Conditions document error state,Load Error
no_camera_permission,QR scanner permission error,No camera permission
dashboard,Sidebar and page title,Dashboard
recovery,"Sidebar, page title, and backup-log type",Recovery
backup_log,Sidebar and page title,Backup Log
settings,Sidebar and page title,Settings
move_backup_data,Backup-path change dialog title,Move Backup Data?
move_backup_data_message,Backup-path change dialog; show the old path separately,Existing backup data was found. Move it to the new location so backup can continue from where it left off?
start_fresh,Backup-path change dialog action,"No, start fresh"
move_data,Backup-path change dialog action,Move Data
logout_backup_warning,Logout confirmation dialog message,Backup will stop after logout. Are you sure you want to log out?
initial_backup,Initial-backup page title,Initial Backup
initial_backup_intro,Initial-backup page introduction,Choose how to import the controller database before enabling continuous backup.
load_via_ftp,Initial-backup method and view title,Load via FTP
load_via_ftp_description,Initial-backup method description,Download the historical DB from the controller over FTP.
import_local_db_files,Initial-backup method and view title,Import Local DB Files
import_local_db_description,Initial-backup method description,Select existing local SQLite DB files and import them.
continue,Initial-backup selection action,Continue
back,Initial-backup navigation action,Back
ftp_download_from_controller,FTP view subtitle prefix; append the controller IP,Download DB files from the controller at
local_db_folder_instruction,Local-import view subtitle; DB is a folder name,"Select the controller's ""DB"" folder containing the SQLite DB files to import."
controller_id_missing,Initial-backup blocking error,Controller ID is missing. Please log in again.
controller_ip_unavailable,FTP error shown in a snack bar,Controller IP is not available.
ftp_download_failed,FTP error prefix; append the error details,FTP download failed
ftp_connect_failed,FTP connection failure detail,FTP connect failed
backup_path_not_selected,FTP destination state,Backup path not selected
select_path,FTP destination action,Select Path
change,Change selected FTP destination,Change
start_ftp_download,FTP download action,Start FTP Download
select_source_folder,Local-import source action,Select Source Folder
source_path,Selected import source label; append the path,Source
select_backup_path,Local-import destination action,Select Backup Path
backup_root_label,Local-import destination label; append the path,Backup root
controller_folder_label,Local-import destination label; append the controller folder,Controller folder
